id,title,text,author,label
1,Scientists discover new species of deep-sea fish in Pacific Ocean,"Marine biologists from the University of California have identified a previously unknown species of fish living at depths exceeding 3,000 meters in the Pacific Ocean. The discovery was made using remotely operated vehicles equipped with high-definition cameras. The fish, named Bathynomus giganteus californicus, exhibits bioluminescent properties unique among known species. Researchers published their findings in the journal Nature Marine Biology after two years of study. The discovery highlights the vast unexplored territory that remains in Earth's deep oceans.",Dr. Sarah Chen,1
2,SHOCKING: Government secretly adding mind control chemicals to drinking water,"Anonymous sources have revealed that government agencies have been covertly adding experimental chemicals to municipal water supplies across the country for decades. These substances, according to unnamed whistleblowers, are designed to make populations more compliant and easier to control. Documents allegedly obtained by hackers show that multiple administrations were involved in covering up this massive conspiracy. Medical professionals who attempted to expose the truth were reportedly silenced through intimidation. The general population remains completely unaware of this ongoing violation of their rights.",TruthSeeker99,0
3,Federal Reserve raises interest rates by 0.25 percent,"The Federal Reserve announced a quarter-point increase in its benchmark interest rate on Wednesday, citing continued concerns about inflation remaining above the central bank's two percent target. Fed Chair Jerome Powell stated that the decision was unanimous among voting members of the Federal Open Market Committee. This marks the third rate increase this year as policymakers attempt to balance curbing inflation with avoiding a recession. Financial markets responded with moderate volatility following the announcement.",James Whitfield,1
4,"Celebrity caught shapeshifting on live television, video going viral","Millions of viewers were stunned last night when a famous Hollywood star appeared to briefly transform into a reptilian entity during a live broadcast awards ceremony. The footage, which has been viewed over 50 million times, clearly shows the celebrity's eyes changing to vertical slits before the feed was allegedly cut by network executives. Multiple eyewitnesses at the event confirmed seeing the transformation firsthand. Experts in reptilian human theory say this is the most compelling evidence yet that world elites are not human. Networks have refused to comment on the incident.",ReptileWatcher,0
5,NASA successfully launches new climate monitoring satellite,"NASA's latest Earth observation satellite, the Climate Continuity Mission, successfully launched from Cape Canaveral aboard a SpaceX Falcon 9 rocket at 6:47 AM Eastern Time. The satellite will monitor greenhouse gas concentrations, sea surface temperatures, and polar ice coverage with unprecedented precision. Mission Director Laura Hernandez confirmed all systems are functioning nominally after the spacecraft reached its intended orbit. The mission is expected to provide critical data for climate scientists over the next decade.",Robert Nakamura,1
6,Doctors don't want you to know this one trick to cure all diseases,"A humble farmer from rural Ohio has discovered a miraculous natural remedy that pharmaceutical companies have been desperately trying to suppress for years. By simply combining common household ingredients available at any grocery store, patients have reportedly cured themselves of cancer, diabetes, heart disease, and dozens of other conditions. The farmer, who wishes to remain anonymous for fear of retaliation from Big Pharma, shared his formula exclusively with our publication. Thousands of grateful users have already reported complete recovery from previously terminal conditions.",NaturalHealthGuru,0
7,WHO reports global vaccination rates improving in developing nations,"The World Health Organization released its annual immunization report showing significant progress in vaccination coverage across sub-Saharan Africa and Southeast Asia. According to the report, childhood vaccination rates in these regions increased by an average of 12 percent compared to the previous year. The improvement is attributed to enhanced cold chain infrastructure and community health worker training programs funded by international development organizations. Director-General Tedros Adhanom Ghebreyesus called the results encouraging but noted that more work remains.",Amara Osei,1
8,"Moon landing was filmed in Hollywood studio, new evidence proves","Newly declassified documents obtained through a Freedom of Information request allegedly confirm what conspiracy theorists have long suspected: the 1969 Apollo moon landing was an elaborate hoax staged in a secret Hollywood studio. The documents, supposedly signed by NASA officials, describe in detail how director Stanley Kubrick was hired to film the footage using advanced camera techniques developed for his film 2001: A Space Odyssey. Multiple film experts have reportedly verified that the lighting in the original footage could only have been produced on Earth.",MoonHoaxExposed,0
9,Stock markets reach new highs amid strong corporate earnings,"Major stock indices closed at record levels on Thursday after a series of better-than-expected quarterly earnings reports from leading technology and consumer goods companies. The S&P 500 gained 1.8 percent, while the Nasdaq Composite rose 2.3 percent. Analysts attributed the rally to robust consumer spending data and signs of easing supply chain pressures. Portfolio managers noted that investor sentiment has shifted positively following months of uncertainty about monetary policy direction.",Patricia Wozniak,1
10,5G towers are secretly harvesting human energy for alien overlords,"A bombshell report from an international network of independent researchers has revealed the true purpose of the 5G cellular network rollout. According to their findings, the towers are not designed to provide telecommunications services but are instead sophisticated energy harvesting devices that extract bioelectric energy from nearby humans. This energy is then transmitted to underground facilities where it is collected and sent to extraterrestrial beings who have made a secret agreement with world governments. Tech whistleblowers risk their lives to bring you this information.",AlienTruthNetwork,0
